,Credit Amount,Duration of Credit (month),Age (years),Account Balance,Occupation,Length of current employment,Payment Status of Previous Credit,Sex,Creditability
799,Less than 1000,2-3 years,Older than 30,Below 200DM,Skilled,More than 4 years,NA/Not Delayed,Male,Not Credible
800,1000-2999,2-3 years,Older than 30,No Account,Skilled,1-3 years,NA/Not Delayed,Female,Not Credible
801,1000-2999,2-3 years,Older than 30,No Account,Skilled,More than 4 years,NA/Not Delayed,Female,Not Credible
802,1000-2999,2-3 years,Younger than 30,No Account,Skilled,1-3 years,NA/Not Delayed,Female,Not Credible
803,1000-2999,1-2 years,Older than 30,None,Skilled,1-3 years,NA/Not Delayed,Female,Not Credible
804,Less than 1000,1-2 years,Younger than 30,No Account,Skilled,1-3 years,NA/Not Delayed,Male,Not Credible
805,1000-2999,2-3 years,Younger than 30,No Account,Skilled,Less than a year,NA/Not Delayed,Female,Not Credible
806,1000-2999,1-2 years,Younger than 30,None,Skilled,Less than a year,NA/Not Delayed,Female,Not Credible
807,3000-6999,More than 3 years,Older than 30,No Account,Skilled,More than 4 years,Delays,Male,Not Credible
808,3000-6999,2-3 years,Older than 30,No Account,Highly Skilled,More than 4 years,NA/Not Delayed,Male,Not Credible
809,1000-2999,Less than a year,Older than 30,No Account,Skilled,More than 4 years,NA/Not Delayed,Female,Not Credible
810,More than 7000,More than 3 years,Younger than 30,None,Skilled,1-3 years,NA/Not Delayed,Male,Not Credible
811,More than 7000,More than 3 years,Older than 30,No Account,Skilled,More than 4 years,NA/Not Delayed,Male,Not Credible
812,1000-2999,1-2 years,Younger than 30,200DM or above,Skilled,Less than a year,NA/Not Delayed,Female,Not Credible
813,3000-6999,1-2 years,Younger than 30,No Account,Skilled,1-3 years,NA/Not Delayed,Female,Not Credible
814,3000-6999,Less than a year,Older than 30,None,Highly Skilled,More than 4 years,NA/Not Delayed,Female,Not Credible
815,1000-2999,1-2 years,Younger than 30,200DM or above,Skilled,More than 4 years,Delays,Female,Not Credible
816,1000-2999,Less than a year,Older than 30,Below 200DM,Unskilled,More than 4 years,NA/Not Delayed,Female,Not Credible
817,Less than 1000,1-2 years,Younger than 30,No Account,Skilled,More than 4 years,NA/Not Delayed,Male,Not Credible
818,1000-2999,Less than a year,Younger than 30,None,Skilled,1-3 years,NA/Not Delayed,Female,Not Credible
819,1000-2999,Less than a year,Younger than 30,200DM or above,Skilled,Less than a year,NA/Not Delayed,Female,Not Credible
820,More than 7000,More than 3 years,Younger than 30,None,Skilled,More than 4 years,NA/Not Delayed,Male,Not Credible
821,3000-6999,More than 3 years,Younger than 30,No Account,Skilled,1-3 years,Delays,Male,Not Credible
822,1000-2999,2-3 years,Older than 30,No Account,Skilled,Less than a year,NA/Not Delayed,Male,Not Credible
823,1000-2999,1-2 years,Younger than 30,No Account,Skilled,1-3 years,NA/Not Delayed,Female,Not Credible
824,1000-2999,2-3 years,Younger than 30,No Account,Unskilled,Less than a year,Delays,Female,Not Credible
825,1000-2999,Less than a year,Older than 30,None,Highly Skilled,Unemployed,Delays,Male,Not Credible
826,3000-6999,More than 3 years,Older than 30,None,Unskilled,More than 4 years,NA/Not Delayed,Male,Not Credible
827,3000-6999,1-2 years,Older than 30,No Account,Skilled,More than 4 years,Delays,Male,Not Credible
828,Less than 1000,1-2 years,Older than 30,None,Skilled,1-3 years,NA/Not Delayed,Male,Not Credible
829,3000-6999,More than 3 years,Younger than 30,None,Skilled,1-3 years,NA/Not Delayed,Female,Not Credible
830,3000-6999,More than 3 years,Older than 30,None,Skilled,1-3 years,NA/Not Delayed,Female,Not Credible
831,3000-6999,More than 3 years,Younger than 30,200DM or above,Highly Skilled,1-3 years,Delays,Male,Not Credible
832,More than 7000,More than 3 years,Younger than 30,200DM or above,Skilled,Less than a year,Delays,Male,Not Credible
833,3000-6999,More than 3 years,Younger than 30,Below 200DM,Skilled,1-3 years,NA/Not Delayed,Male,Not Credible
834,3000-6999,Less than a year,Older than 30,200DM or above,Skilled,Less than a year,NA/Not Delayed,Female,Not Credible
835,More than 7000,2-3 years,Younger than 30,None,Highly Skilled,1-3 years,NA/Not Delayed,Female,Not Credible
836,3000-6999,1-2 years,Older than 30,200DM or above,Skilled,1-3 years,NA/Not Delayed,Male,Not Credible
837,3000-6999,2-3 years,Older than 30,None,Skilled,More than 4 years,NA/Not Delayed,Male,Not Credible
838,3000-6999,1-2 years,Older than 30,200DM or above,Highly Skilled,More than 4 years,NA/Not Delayed,Male,Not Credible
839,1000-2999,1-2 years,Younger than 30,200DM or above,Skilled,1-3 years,NA/Not Delayed,Female,Not Credible
840,1000-2999,More than 3 years,Older than 30,No Account,Highly Skilled,More than 4 years,NA/Not Delayed,Male,Not Credible
841,1000-2999,1-2 years,Older than 30,None,Unskilled,Less than a year,Delays,Male,Not Credible
842,1000-2999,1-2 years,Younger than 30,200DM or above,Unskilled,1-3 years,NA/Not Delayed,Female,Not Credible
843,More than 7000,2-3 years,Younger than 30,None,Highly Skilled,1-3 years,NA/Not Delayed,Male,Not Credible
844,More than 7000,2-3 years,Older than 30,None,Highly Skilled,1-3 years,Delays,Male,Not Credible
845,1000-2999,2-3 years,Younger than 30,None,Unskilled,1-3 years,Delays,Male,Not Credible
846,1000-2999,2-3 years,Older than 30,None,Highly Skilled,Less than a year,Delays,Male,Not Credible
847,More than 7000,More than 3 years,Older than 30,None,Highly Skilled,More than 4 years,NA/Not Delayed,Female,Not Credible
848,1000-2999,More than 3 years,Older than 30,None,Skilled,1-3 years,NA/Not Delayed,Female,Not Credible
849,More than 7000,More than 3 years,Older than 30,None,Skilled,1-3 years,NA/Not Delayed,Male,Not Credible
850,3000-6999,More than 3 years,Younger than 30,None,Skilled,1-3 years,NA/Not Delayed,Male,Not Credible
851,Less than 1000,1-2 years,Younger than 30,No Account,Unskilled,1-3 years,NA/Not Delayed,Female,Not Credible
852,1000-2999,2-3 years,Older than 30,None,Skilled,More than 4 years,Delays,Male,Not Credible
853,1000-2999,2-3 years,Older than 30,Below 200DM,Unskilled,More than 4 years,Delays,Male,Not Credible
854,1000-2999,1-2 years,Older than 30,200DM or above,Unskilled,Less than a year,NA/Not Delayed,Male,Not Credible
855,3000-6999,More than 3 years,Older than 30,No Account,Skilled,More than 4 years,NA/Not Delayed,Male,Not Credible
856,3000-6999,2-3 years,Older than 30,No Account,Skilled,Less than a year,NA/Not Delayed,Male,Not Credible
857,1000-2999,More than 3 years,Older than 30,No Account,Skilled,1-3 years,NA/Not Delayed,Male,Not Credible
858,3000-6999,More than 3 years,Older than 30,No Account,Skilled,Less than a year,NA/Not Delayed,Male,Not Credible
859,Less than 1000,1-2 years,Older than 30,No Account,Unskilled,Less than a year,NA/Not Delayed,Male,Not Credible
860,3000-6999,More than 3 years,Older than 30,200DM or above,Skilled,1-3 years,NA/Not Delayed,Male,Not Credible
861,3000-6999,More than 3 years,Younger than 30,No Account,Skilled,Less than a year,NA/Not Delayed,Female,Not Credible
862,1000-2999,1-2 years,Younger than 30,None,Skilled,Less than a year,NA/Not Delayed,Male,Not Credible
863,1000-2999,1-2 years,Older than 30,200DM or above,Skilled,More than 4 years,Delays,Male,Not Credible
864,3000-6999,More than 3 years,Younger than 30,No Account,Skilled,1-3 years,Delays,Male,Not Credible
865,1000-2999,1-2 years,Older than 30,Below 200DM,Skilled,1-3 years,Delays,Male,Not Credible
866,1000-2999,1-2 years,Younger than 30,None,Skilled,Less than a year,NA/Not Delayed,Female,Not Credible
867,More than 7000,More than 3 years,Younger than 30,None,Highly Skilled,Less than a year,NA/Not Delayed,Male,Not Credible
868,Less than 1000,1-2 years,Younger than 30,None,Skilled,Less than a year,NA/Not Delayed,Female,Not Credible
869,1000-2999,2-3 years,Younger than 30,None,Unskilled,Less than a year,NA/Not Delayed,Female,Not Credible
870,3000-6999,More than 3 years,Older than 30,No Account,Skilled,1-3 years,NA/Not Delayed,Male,Not Credible
871,More than 7000,More than 3 years,Younger than 30,200DM or above,Skilled,1-3 years,Delays,Female,Not Credible
872,Less than 1000,1-2 years,Younger than 30,200DM or above,Skilled,Unemployed,NA/Not Delayed,Female,Not Credible
873,More than 7000,More than 3 years,Younger than 30,200DM or above,Skilled,Less than a year,Delays,Male,Not Credible
874,1000-2999,2-3 years,Older than 30,None,Unskilled,More than 4 years,NA/Not Delayed,Female,Not Credible
875,3000-6999,2-3 years,Younger than 30,None,Highly Skilled,Unemployed,Delays,Male,Not Credible
876,3000-6999,2-3 years,Younger than 30,None,Highly Skilled,Unemployed,Delays,Male,Not Credible
877,3000-6999,More than 3 years,Older than 30,No Account,Skilled,1-3 years,NA/Not Delayed,Female,Not Credible
878,1000-2999,Less than a year,Younger than 30,No Account,Skilled,Less than a year,NA/Not Delayed,Female,Not Credible
879,1000-2999,2-3 years,Older than 30,No Account,Highly Skilled,More than 4 years,NA/Not Delayed,Male,Not Credible
880,1000-2999,1-2 years,Younger than 30,No Account,Unskilled,Unemployed,NA/Not Delayed,Male,Not Credible
881,1000-2999,Less than a year,Older than 30,Below 200DM,Highly Skilled,Less than a year,NA/Not Delayed,Male,Not Credible
882,More than 7000,More than 3 years,Older than 30,No Account,Highly Skilled,More than 4 years,NA/Not Delayed,Male,Not Credible
883,1000-2999,1-2 years,Younger than 30,None,Skilled,1-3 years,NA/Not Delayed,Male,Not Credible
884,1000-2999,1-2 years,Younger than 30,None,Skilled,1-3 years,NA/Not Delayed,Female,Not Credible
885,3000-6999,More than 3 years,Younger than 30,None,Skilled,More than 4 years,NA/Not Delayed,Male,Not Credible
886,3000-6999,2-3 years,Younger than 30,No Account,Skilled,Less than a year,NA/Not Delayed,Female,Not Credible
887,More than 7000,More than 3 years,Younger than 30,No Account,Highly Skilled,1-3 years,Delays,Female,Not Credible
888,1000-2999,2-3 years,Older than 30,No Account,Skilled,Less than a year,NA/Not Delayed,Female,Not Credible
889,More than 7000,More than 3 years,Younger than 30,None,Highly Skilled,Less than a year,NA/Not Delayed,Male,Not Credible
890,More than 7000,More than 3 years,Younger than 30,None,Highly Skilled,More than 4 years,NA/Not Delayed,Male,Not Credible
891,More than 7000,More than 3 years,Younger than 30,No Account,Skilled,More than 4 years,Delays,Male,Not Credible
892,1000-2999,1-2 years,Younger than 30,None,Skilled,1-3 years,NA/Not Delayed,Male,Not Credible
893,1000-2999,1-2 years,Older than 30,No Account,Skilled,Unemployed,NA/Not Delayed,Female,Not Credible
894,1000-2999,2-3 years,Older than 30,None,Highly Skilled,Unemployed,Delays,Female,Not Credible
895,More than 7000,1-2 years,Older than 30,None,Highly Skilled,Unemployed,NA/Not Delayed,Female,Not Credible
896,1000-2999,1-2 years,Older than 30,200DM or above,Unskilled,Less than a year,Delays,Male,Not Credible
897,1000-2999,2-3 years,Younger than 30,200DM or above,Skilled,1-3 years,NA/Not Delayed,Female,Not Credible
898,3000-6999,2-3 years,Older than 30,None,Skilled,1-3 years,NA/Not Delayed,Male,Not Credible
899,1000-2999,Less than a year,Younger than 30,200DM or above,Unskilled,1-3 years,NA/Not Delayed,Male,Not Credible
900,3000-6999,2-3 years,Older than 30,No Account,Skilled,More than 4 years,NA/Not Delayed,Male,Not Credible
901,1000-2999,1-2 years,Older than 30,No Account,Unskilled,Less than a year,NA/Not Delayed,Male,Not Credible
902,1000-2999,More than 3 years,Older than 30,None,Skilled,More than 4 years,Delays,Male,Not Credible
903,3000-6999,1-2 years,Older than 30,No Account,Skilled,1-3 years,NA/Not Delayed,Male,Not Credible
904,3000-6999,1-2 years,Younger than 30,No Account,Skilled,Less than a year,NA/Not Delayed,Female,Not Credible
905,1000-2999,1-2 years,Younger than 30,No Account,Skilled,1-3 years,Delays,Female,Not Credible
906,1000-2999,1-2 years,Older than 30,No Account,Skilled,1-3 years,NA/Not Delayed,Male,Not Credible
907,1000-2999,2-3 years,Younger than 30,No Account,Skilled,More than 4 years,NA/Not Delayed,Female,Not Credible
908,1000-2999,2-3 years,Older than 30,No Account,Skilled,Unemployed,Delays,Male,Not Credible
909,More than 7000,More than 3 years,Older than 30,No Account,Skilled,1-3 years,NA/Not Delayed,Male,Not Credible
910,3000-6999,2-3 years,Older than 30,No Account,Skilled,1-3 years,Delays,Male,Not Credible
911,Less than 1000,1-2 years,Older than 30,No Account,Skilled,More than 4 years,Delays,Male,Not Credible
912,3000-6999,More than 3 years,Younger than 30,No Account,Skilled,More than 4 years,Delays,Male,Not Credible
913,1000-2999,More than 3 years,Older than 30,No Account,Skilled,More than 4 years,NA/Not Delayed,Male,Not Credible
914,3000-6999,2-3 years,Younger than 30,No Account,Skilled,More than 4 years,NA/Not Delayed,Male,Not Credible
915,1000-2999,1-2 years,Younger than 30,No Account,Skilled,1-3 years,NA/Not Delayed,Male,Not Credible
916,1000-2999,1-2 years,Younger than 30,No Account,Skilled,1-3 years,NA/Not Delayed,Female,Not Credible
917,1000-2999,1-2 years,Younger than 30,None,Skilled,Less than a year,NA/Not Delayed,Female,Not Credible
918,3000-6999,More than 3 years,Younger than 30,No Account,Skilled,More than 4 years,NA/Not Delayed,Male,Not Credible
919,3000-6999,More than 3 years,Older than 30,No Account,Skilled,More than 4 years,Delays,Male,Not Credible
920,3000-6999,2-3 years,Younger than 30,No Account,Skilled,More than 4 years,NA/Not Delayed,Male,Not Credible
921,Less than 1000,1-2 years,Older than 30,No Account,Skilled,Less than a year,NA/Not Delayed,Male,Not Credible
922,1000-2999,2-3 years,Younger than 30,No Account,Skilled,More than 4 years,NA/Not Delayed,Female,Not Credible
923,3000-6999,2-3 years,Older than 30,No Account,Skilled,Unemployed,NA/Not Delayed,Male,Not Credible
924,3000-6999,1-2 years,Younger than 30,No Account,Skilled,Less than a year,Delays,Male,Not Credible
925,1000-2999,1-2 years,Younger than 30,No Account,Skilled,1-3 years,NA/Not Delayed,Female,Not Credible
926,3000-6999,2-3 years,Older than 30,No Account,Skilled,1-3 years,NA/Not Delayed,Male,Not Credible
927,Less than 1000,1-2 years,Younger than 30,No Account,Skilled,More than 4 years,NA/Not Delayed,Male,Not Credible
928,More than 7000,More than 3 years,Older than 30,No Account,Skilled,More than 4 years,NA/Not Delayed,Male,Not Credible
929,More than 7000,More than 3 years,Younger than 30,None,Skilled,1-3 years,NA/Not Delayed,Male,Not Credible
930,1000-2999,1-2 years,Older than 30,None,Skilled,More than 4 years,Delays,Male,Not Credible
931,1000-2999,1-2 years,Older than 30,No Account,Unskilled,Less than a year,NA/Not Delayed,Female,Not Credible
932,1000-2999,1-2 years,Older than 30,None,Skilled,More than 4 years,NA/Not Delayed,Male,Not Credible
933,1000-2999,1-2 years,Older than 30,No Account,Skilled,More than 4 years,NA/Not Delayed,Male,Not Credible
934,1000-2999,1-2 years,Older than 30,No Account,Skilled,More than 4 years,Delays,Male,Not Credible
935,1000-2999,1-2 years,Older than 30,No Account,Skilled,1-3 years,Delays,Male,Not Credible
936,Less than 1000,Less than a year,Younger than 30,None,Skilled,1-3 years,NA/Not Delayed,Female,Not Credible
937,Less than 1000,1-2 years,Older than 30,None,Skilled,More than 4 years,Delays,Male,Not Credible
938,1000-2999,2-3 years,Younger than 30,None,Unskilled,Less than a year,NA/Not Delayed,Male,Not Credible
939,More than 7000,More than 3 years,Older than 30,None,Highly Skilled,More than 4 years,Delays,Male,Not Credible
940,More than 7000,More than 3 years,Older than 30,200DM or above,Skilled,1-3 years,Delays,Male,Not Credible
941,Less than 1000,1-2 years,Older than 30,None,Unskilled,More than 4 years,NA/Not Delayed,Male,Not Credible
942,Less than 1000,1-2 years,Older than 30,200DM or above,Unskilled,More than 4 years,NA/Not Delayed,Male,Not Credible
943,More than 7000,More than 3 years,Older than 30,None,Skilled,1-3 years,NA/Not Delayed,Male,Not Credible
944,Less than 1000,1-2 years,Older than 30,No Account,Unskilled,More than 4 years,NA/Not Delayed,Male,Not Credible
945,3000-6999,1-2 years,Older than 30,None,Highly Skilled,Unemployed,NA/Not Delayed,Male,Not Credible
946,1000-2999,Less than a year,Younger than 30,200DM or above,Unskilled,1-3 years,NA/Not Delayed,Male,Not Credible
947,More than 7000,2-3 years,Older than 30,200DM or above,Highly Skilled,Unemployed,NA/Not Delayed,Female,Not Credible
948,1000-2999,1-2 years,Older than 30,No Account,Unskilled,More than 4 years,NA/Not Delayed,Male,Not Credible
949,Less than 1000,1-2 years,Older than 30,200DM or above,Unskilled,More than 4 years,Delays,Female,Not Credible
950,3000-6999,More than 3 years,Younger than 30,None,Unskilled,Less than a year,Delays,Male,Not Credible
951,Less than 1000,1-2 years,Younger than 30,Below 200DM,Skilled,More than 4 years,Delays,Male,Not Credible
952,1000-2999,1-2 years,Older than 30,None,Skilled,More than 4 years,NA/Not Delayed,Female,Not Credible
953,More than 7000,More than 3 years,Younger than 30,200DM or above,Unskilled,1-3 years,Delays,Female,Not Credible
954,Less than 1000,1-2 years,Younger than 30,Below 200DM,Unskilled,Less than a year,NA/Not Delayed,Female,Not Credible
955,1000-2999,1-2 years,Older than 30,No Account,Unskilled,Unemployed,Delays,Female,Not Credible
956,1000-2999,1-2 years,Older than 30,None,Unskilled,More than 4 years,NA/Not Delayed,Male,Not Credible
957,3000-6999,2-3 years,Younger than 30,None,Skilled,1-3 years,NA/Not Delayed,Female,Not Credible
958,3000-6999,2-3 years,Younger than 30,None,Unskilled,1-3 years,NA/Not Delayed,Female,Not Credible
959,3000-6999,2-3 years,Younger than 30,None,Skilled,Less than a year,NA/Not Delayed,Male,Not Credible
960,3000-6999,1-2 years,Older than 30,200DM or above,Skilled,1-3 years,NA/Not Delayed,Male,Not Credible
961,1000-2999,1-2 years,Younger than 30,None,Skilled,Less than a year,NA/Not Delayed,Male,Not Credible
962,More than 7000,More than 3 years,Older than 30,None,Skilled,Less than a year,NA/Not Delayed,Male,Not Credible
963,3000-6999,2-3 years,Younger than 30,No Account,Unskilled,Less than a year,NA/Not Delayed,Female,Not Credible
964,Less than 1000,1-2 years,Older than 30,None,Skilled,More than 4 years,NA/Not Delayed,Male,Not Credible
965,More than 7000,More than 3 years,Younger than 30,None,Skilled,Less than a year,NA/Not Delayed,Female,Not Credible
966,More than 7000,2-3 years,Younger than 30,200DM or above,Skilled,Less than a year,Delays,Male,Not Credible
967,1000-2999,1-2 years,Younger than 30,No Account,Skilled,1-3 years,NA/Not Delayed,Male,Not Credible
968,1000-2999,More than 3 years,Younger than 30,No Account,Skilled,1-3 years,NA/Not Delayed,Male,Not Credible
969,1000-2999,1-2 years,Older than 30,No Account,Unskilled,1-3 years,NA/Not Delayed,Male,Not Credible
970,3000-6999,More than 3 years,Older than 30,200DM or above,Highly Skilled,Unemployed,NA/Not Delayed,Male,Not Credible
971,More than 7000,2-3 years,Older than 30,None,Highly Skilled,More than 4 years,NA/Not Delayed,Female,Not Credible
972,1000-2999,1-2 years,Older than 30,Below 200DM,Skilled,1-3 years,NA/Not Delayed,Male,Not Credible
973,More than 7000,More than 3 years,Younger than 30,No Account,Skilled,More than 4 years,NA/Not Delayed,Male,Not Credible
974,Less than 1000,Less than a year,Younger than 30,No Account,Skilled,Less than a year,NA/Not Delayed,Female,Not Credible
975,More than 7000,2-3 years,Older than 30,No Account,Unskilled,Less than a year,NA/Not Delayed,Male,Not Credible
976,More than 7000,More than 3 years,Older than 30,None,Highly Skilled,1-3 years,NA/Not Delayed,Female,Not Credible
977,More than 7000,Less than a year,Older than 30,No Account,Highly Skilled,More than 4 years,NA/Not Delayed,Male,Not Credible
978,1000-2999,1-2 years,Younger than 30,None,Skilled,More than 4 years,NA/Not Delayed,Female,Not Credible
979,3000-6999,1-2 years,Older than 30,No Account,Skilled,More than 4 years,NA/Not Delayed,Male,Not Credible
980,1000-2999,2-3 years,Younger than 30,None,Skilled,Less than a year,NA/Not Delayed,Male,Not Credible
981,1000-2999,1-2 years,Younger than 30,200DM or above,Skilled,1-3 years,Delays,Male,Not Credible
982,3000-6999,More than 3 years,Older than 30,None,Highly Skilled,1-3 years,Delays,Female,Not Credible
983,1000-2999,1-2 years,Younger than 30,No Account,Skilled,1-3 years,NA/Not Delayed,Female,Not Credible
984,3000-6999,More than 3 years,Older than 30,No Account,Skilled,More than 4 years,NA/Not Delayed,Male,Not Credible
985,1000-2999,1-2 years,Older than 30,200DM or above,Highly Skilled,Unemployed,Delays,Male,Not Credible
986,More than 7000,1-2 years,Older than 30,No Account,Highly Skilled,More than 4 years,NA/Not Delayed,Male,Not Credible
987,Less than 1000,1-2 years,Younger than 30,No Account,Skilled,More than 4 years,NA/Not Delayed,Male,Not Credible
988,Less than 1000,1-2 years,Younger than 30,No Account,Unskilled,Less than a year,NA/Not Delayed,Female,Not Credible
989,1000-2999,2-3 years,Younger than 30,None,Unskilled,1-3 years,NA/Not Delayed,Female,Not Credible
990,Less than 1000,1-2 years,Younger than 30,No Account,Unskilled,Unemployed,NA/Not Delayed,Female,Not Credible
991,More than 7000,2-3 years,Older than 30,None,Highly Skilled,More than 4 years,NA/Not Delayed,Female,Not Credible
992,More than 7000,1-2 years,Older than 30,No Account,Skilled,More than 4 years,NA/Not Delayed,Male,Not Credible
993,3000-6999,1-2 years,Older than 30,No Account,Skilled,More than 4 years,Delays,Female,Not Credible
994,3000-6999,1-2 years,Younger than 30,No Account,Skilled,1-3 years,NA/Not Delayed,Male,Not Credible
995,1000-2999,2-3 years,Younger than 30,No Account,Unskilled,1-3 years,NA/Not Delayed,Male,Not Credible
996,1000-2999,2-3 years,Older than 30,No Account,Skilled,More than 4 years,NA/Not Delayed,Male,Not Credible
997,More than 7000,1-2 years,Older than 30,200DM or above,Highly Skilled,More than 4 years,Delays,Male,Not Credible
998,3000-6999,1-2 years,Older than 30,None,Highly Skilled,Unemployed,NA/Not Delayed,Male,Not Credible
999,3000-6999,2-3 years,Older than 30,No Account,Skilled,More than 4 years,NA/Not Delayed,Male,Not Credible
