,gender,disability,age_band,SES,highest_education,studied_credits,code_module,final_result
28715,M,N,0-35,low,HE Qualification,More than 65,FFF,Fail
28716,F,N,0-35,high,A Level or Equivalent,More than 65,FFF,Pass
28717,M,Y,0-35,high,Lower Than A Level,More than 65,FFF,Pass
28719,M,N,0-35,high,Lower Than A Level,More than 65,FFF,Pass
28720,F,N,35-55,low,Lower Than A Level,More than 65,FFF,Pass
28721,M,N,0-35,high,Lower Than A Level,More than 65,FFF,Pass
28722,F,N,0-35,low,Lower Than A Level,More than 65,FFF,Fail
28723,M,N,0-35,low,Lower Than A Level,60-65,FFF,Pass
28724,F,N,0-35,low,Lower Than A Level,60-65,FFF,Pass
28725,M,N,0-35,high,A Level or Equivalent,60-65,FFF,Pass
28726,M,N,0-35,low,A Level or Equivalent,60-65,FFF,Pass
28727,M,N,35-55,low,Lower Than A Level,60-65,FFF,Pass
28728,M,N,35-55,low,Lower Than A Level,60-65,FFF,Pass
28730,M,N,0-35,low,Lower Than A Level,More than 65,FFF,Pass
28734,F,N,0-35,high,A Level or Equivalent,More than 65,FFF,Pass
28735,F,N,0-35,low,Lower Than A Level,60-65,FFF,Fail
28736,M,N,35-55,high,A Level or Equivalent,More than 65,FFF,Pass
28737,M,N,0-35,low,Lower Than A Level,60-65,FFF,Fail
28738,M,N,0-35,high,A Level or Equivalent,60-65,FFF,Pass
28739,M,N,0-35,low,A Level or Equivalent,60-65,FFF,Pass
28740,M,N,0-35,high,Lower Than A Level,More than 65,FFF,Fail
28744,M,N,35-55,high,Lower Than A Level,More than 65,FFF,Pass
28747,M,Y,35-55,low,Lower Than A Level,More than 65,FFF,Fail
28748,M,N,35-55,high,Lower Than A Level,60-65,FFF,Fail
28750,M,N,0-35,low,HE Qualification,More than 65,FFF,Pass
28753,M,N,0-35,high,A Level or Equivalent,More than 65,FFF,Pass
28754,M,N,0-35,high,A Level or Equivalent,60-65,FFF,Pass
28755,F,N,0-35,low,Lower Than A Level,More than 65,FFF,Pass
28757,M,N,0-35,high,A Level or Equivalent,More than 65,FFF,Fail
28759,M,N,35-55,high,Lower Than A Level,More than 65,FFF,Fail
28760,M,N,0-35,low,A Level or Equivalent,60-65,FFF,Fail
28761,M,N,0-35,low,Lower Than A Level,More than 65,FFF,Pass
28762,F,N,0-35,high,A Level or Equivalent,More than 65,FFF,Pass
28763,M,N,0-35,low,HE Qualification,More than 65,FFF,Pass
28764,M,N,0-35,low,A Level or Equivalent,60-65,FFF,Pass
28765,M,N,0-35,low,A Level or Equivalent,More than 65,FFF,Pass
28766,M,Y,0-35,low,A Level or Equivalent,More than 65,FFF,Pass
28767,M,N,35-55,high,Lower Than A Level,More than 65,FFF,Pass
28769,F,N,35-55,high,A Level or Equivalent,60-65,FFF,Pass
28772,M,N,0-35,high,Lower Than A Level,More than 65,FFF,Pass
28773,F,N,0-35,low,A Level or Equivalent,60-65,FFF,Pass
28774,M,N,35-55,low,Lower Than A Level,60-65,FFF,Pass
28775,M,N,0-35,high,Post Graduate Qualification,More than 65,FFF,Pass
28776,M,N,0-35,low,Lower Than A Level,60-65,FFF,Pass
28778,F,N,0-35,low,HE Qualification,More than 65,FFF,Pass
28779,M,N,0-35,high,A Level or Equivalent,60-65,FFF,Pass
28780,M,N,35-55,low,A Level or Equivalent,60-65,FFF,Pass
28782,M,N,0-35,high,A Level or Equivalent,More than 65,FFF,Pass
28783,M,N,0-35,low,A Level or Equivalent,More than 65,FFF,Pass
28787,M,N,35-55,low,A Level or Equivalent,60-65,FFF,Pass
28790,M,N,35-55,low,A Level or Equivalent,More than 65,FFF,Pass
28793,M,N,35-55,low,A Level or Equivalent,More than 65,FFF,Pass
28794,F,N,35-55,low,Lower Than A Level,More than 65,FFF,Fail
28797,M,N,0-35,low,A Level or Equivalent,60-65,FFF,Pass
28798,M,N,0-35,high,A Level or Equivalent,More than 65,FFF,Pass
28799,M,Y,0-35,low,Lower Than A Level,More than 65,FFF,Fail
28800,M,N,0-35,high,HE Qualification,60-65,FFF,Fail
28804,F,N,0-35,low,Lower Than A Level,More than 65,FFF,Pass
28806,M,Y,0-35,low,A Level or Equivalent,More than 65,FFF,Pass
28807,M,N,0-35,high,A Level or Equivalent,More than 65,FFF,Fail
28809,F,N,0-35,low,HE Qualification,More than 65,FFF,Pass
28810,M,N,0-35,high,A Level or Equivalent,More than 65,FFF,Pass
28811,F,Y,0-35,high,A Level or Equivalent,More than 65,FFF,Pass
28813,F,N,35-55,high,Lower Than A Level,More than 65,FFF,Pass
28814,M,Y,0-35,high,A Level or Equivalent,60-65,FFF,Pass
28815,M,N,0-35,low,A Level or Equivalent,60-65,FFF,Pass
28818,M,N,0-35,high,A Level or Equivalent,60-65,FFF,Fail
28819,M,N,0-35,low,Lower Than A Level,60-65,FFF,Pass
28822,M,N,0-35,high,Lower Than A Level,60-65,FFF,Pass
28823,M,N,0-35,high,A Level or Equivalent,60-65,FFF,Pass
28824,F,N,0-35,low,A Level or Equivalent,More than 65,FFF,Fail
28826,M,N,0-35,low,Lower Than A Level,More than 65,FFF,Pass
28827,M,Y,0-35,low,Lower Than A Level,More than 65,FFF,Fail
28828,M,N,0-35,high,A Level or Equivalent,More than 65,FFF,Pass
28829,M,N,0-35,low,A Level or Equivalent,60-65,FFF,Pass
28830,M,N,0-35,low,Lower Than A Level,More than 65,FFF,Pass
28831,M,N,0-35,low,Lower Than A Level,60-65,FFF,Pass
28832,M,N,0-35,high,Lower Than A Level,More than 65,FFF,Pass
28833,M,N,0-35,low,Lower Than A Level,60-65,FFF,Pass
28834,M,N,0-35,high,Lower Than A Level,More than 65,FFF,Pass
28835,F,N,0-35,low,Lower Than A Level,More than 65,FFF,Pass
28838,M,N,0-35,high,A Level or Equivalent,More than 65,FFF,Pass
28839,M,N,0-35,low,Lower Than A Level,More than 65,FFF,Fail
28840,F,N,0-35,low,HE Qualification,More than 65,FFF,Fail
28841,M,N,0-35,low,Lower Than A Level,60-65,FFF,Pass
28842,M,N,0-35,high,A Level or Equivalent,More than 65,FFF,Pass
28844,M,N,0-35,low,Lower Than A Level,More than 65,FFF,Fail
28845,M,N,0-35,low,HE Qualification,60-65,FFF,Pass
28846,M,N,0-35,high,A Level or Equivalent,60-65,FFF,Pass
28848,M,N,0-35,high,A Level or Equivalent,More than 65,FFF,Fail
28849,M,N,0-35,high,A Level or Equivalent,More than 65,FFF,Pass
28850,F,N,0-35,low,A Level or Equivalent,More than 65,FFF,Pass
28852,M,Y,0-35,low,A Level or Equivalent,More than 65,FFF,Fail
28853,M,N,0-35,high,A Level or Equivalent,More than 65,FFF,Fail
28855,M,Y,0-35,high,Lower Than A Level,More than 65,FFF,Pass
28856,M,N,0-35,high,A Level or Equivalent,More than 65,FFF,Pass
28858,M,N,0-35,low,A Level or Equivalent,More than 65,FFF,Pass
28859,M,N,0-35,high,A Level or Equivalent,More than 65,FFF,Pass
28861,M,N,0-35,high,A Level or Equivalent,More than 65,FFF,Pass
28864,M,N,0-35,high,A Level or Equivalent,60-65,FFF,Pass
28866,M,Y,35-55,low,Lower Than A Level,60-65,FFF,Fail
28868,M,N,0-35,low,A Level or Equivalent,60-65,FFF,Pass
28871,M,N,0-35,high,Lower Than A Level,60-65,FFF,Fail
28872,M,N,0-35,low,Lower Than A Level,More than 65,FFF,Pass
28876,M,N,0-35,low,Lower Than A Level,60-65,FFF,Fail
28878,M,N,0-35,high,Lower Than A Level,More than 65,FFF,Pass
28880,M,N,35-55,low,Lower Than A Level,60-65,FFF,Fail
28881,M,N,0-35,low,Lower Than A Level,60-65,FFF,Pass
28883,M,N,35-55,low,Lower Than A Level,More than 65,FFF,Pass
28884,M,N,0-35,high,A Level or Equivalent,More than 65,FFF,Fail
28889,M,N,0-35,high,Lower Than A Level,More than 65,FFF,Pass
28890,F,N,0-35,low,HE Qualification,60-65,FFF,Pass
28891,M,N,0-35,low,Lower Than A Level,60-65,FFF,Pass
28894,M,N,0-35,low,Lower Than A Level,60-65,FFF,Pass
28897,M,N,0-35,low,A Level or Equivalent,60-65,FFF,Pass
28898,M,N,0-35,low,Lower Than A Level,More than 65,FFF,Pass
28900,M,N,0-35,high,A Level or Equivalent,More than 65,FFF,Fail
28901,M,N,0-35,low,Lower Than A Level,More than 65,FFF,Pass
28904,F,N,0-35,high,A Level or Equivalent,More than 65,FFF,Pass
28907,M,N,0-35,high,HE Qualification,More than 65,FFF,Pass
28908,M,N,0-35,low,Lower Than A Level,More than 65,FFF,Pass
28910,F,N,0-35,high,A Level or Equivalent,More than 65,FFF,Pass
28911,M,N,35-55,low,A Level or Equivalent,60-65,FFF,Fail
28917,M,N,0-35,high,Lower Than A Level,More than 65,FFF,Pass
28918,M,N,0-35,low,A Level or Equivalent,More than 65,FFF,Pass
28920,M,N,0-35,high,A Level or Equivalent,60-65,FFF,Fail
28926,M,N,0-35,high,A Level or Equivalent,More than 65,FFF,Pass
28927,F,N,0-35,low,Lower Than A Level,More than 65,FFF,Fail
28928,M,N,0-35,high,Lower Than A Level,More than 65,FFF,Fail
28932,F,N,0-35,high,A Level or Equivalent,More than 65,FFF,Pass
28935,M,N,0-35,low,Lower Than A Level,More than 65,FFF,Pass
28936,M,N,0-35,high,Lower Than A Level,60-65,FFF,Fail
28938,M,N,0-35,low,A Level or Equivalent,60-65,FFF,Pass
28943,M,N,0-35,low,A Level or Equivalent,More than 65,FFF,Pass
28944,F,N,0-35,low,HE Qualification,More than 65,FFF,Pass
28947,M,N,0-35,low,Lower Than A Level,More than 65,FFF,Pass
28948,M,N,0-35,low,Lower Than A Level,60-65,FFF,Pass
28950,M,N,0-35,high,A Level or Equivalent,More than 65,FFF,Pass
28951,M,N,0-35,low,A Level or Equivalent,60-65,FFF,Pass
28952,M,N,0-35,low,A Level or Equivalent,60-65,FFF,Fail
28954,M,N,0-35,high,HE Qualification,More than 65,FFF,Pass
28957,M,N,35-55,high,A Level or Equivalent,More than 65,FFF,Fail
28959,M,N,35-55,low,Lower Than A Level,More than 65,FFF,Fail
28961,F,N,0-35,high,Post Graduate Qualification,60-65,FFF,Fail
28962,M,N,35-55,low,A Level or Equivalent,60-65,FFF,Pass
28963,M,N,0-35,low,A Level or Equivalent,60-65,FFF,Pass
28965,M,N,0-35,high,A Level or Equivalent,60-65,FFF,Pass
28966,M,N,0-35,high,A Level or Equivalent,More than 65,FFF,Pass
28967,M,N,0-35,high,Lower Than A Level,More than 65,FFF,Pass
28968,M,N,0-35,low,Lower Than A Level,More than 65,FFF,Pass
28969,M,N,0-35,high,Lower Than A Level,60-65,FFF,Pass
28970,M,N,0-35,low,A Level or Equivalent,60-65,FFF,Fail
28971,M,N,0-35,low,Lower Than A Level,60-65,FFF,Pass
28973,F,N,35-55,low,A Level or Equivalent,60-65,FFF,Fail
28974,M,Y,0-35,high,A Level or Equivalent,More than 65,FFF,Fail
28975,M,N,0-35,low,A Level or Equivalent,60-65,FFF,Fail
28977,M,N,0-35,low,Lower Than A Level,More than 65,FFF,Pass
28978,M,N,0-35,low,Lower Than A Level,60-65,FFF,Pass
28980,M,N,0-35,high,Lower Than A Level,60-65,FFF,Pass
28982,M,N,0-35,high,A Level or Equivalent,More than 65,FFF,Pass
28983,M,N,0-35,high,Lower Than A Level,60-65,FFF,Pass
28984,M,N,0-35,high,A Level or Equivalent,60-65,FFF,Pass
28989,M,N,0-35,low,A Level or Equivalent,60-65,FFF,Fail
28992,M,Y,0-35,low,A Level or Equivalent,60-65,FFF,Pass
28994,M,N,0-35,high,A Level or Equivalent,More than 65,FFF,Pass
28995,F,N,35-55,high,Lower Than A Level,60-65,FFF,Fail
28996,M,N,0-35,low,A Level or Equivalent,60-65,FFF,Pass
28997,M,N,0-35,high,HE Qualification,60-65,FFF,Pass
28999,M,N,35-55,low,Lower Than A Level,60-65,FFF,Pass
29000,M,N,0-35,high,A Level or Equivalent,60-65,FFF,Pass
29002,F,N,35-55,low,Lower Than A Level,More than 65,FFF,Pass
29003,M,N,35-55,high,Lower Than A Level,60-65,FFF,Pass
29007,M,N,0-35,low,HE Qualification,More than 65,FFF,Pass
29009,F,Y,0-35,high,Lower Than A Level,60-65,FFF,Pass
29010,M,N,0-35,high,Lower Than A Level,More than 65,FFF,Fail
29011,M,N,0-35,high,Lower Than A Level,60-65,FFF,Pass
29012,M,N,0-35,high,A Level or Equivalent,60-65,FFF,Fail
29013,F,N,0-35,high,A Level or Equivalent,60-65,FFF,Pass
29014,M,N,0-35,high,A Level or Equivalent,60-65,FFF,Pass
29016,M,N,35-55,high,Lower Than A Level,60-65,FFF,Pass
29017,M,N,0-35,low,Lower Than A Level,More than 65,FFF,Fail
29018,M,N,0-35,low,A Level or Equivalent,More than 65,FFF,Pass
29019,M,N,0-35,high,A Level or Equivalent,60-65,FFF,Fail
29020,M,N,0-35,low,Lower Than A Level,60-65,FFF,Pass
29022,M,N,0-35,low,Lower Than A Level,60-65,FFF,Fail
29024,F,N,0-35,low,A Level or Equivalent,More than 65,FFF,Pass
29025,M,N,0-35,low,Lower Than A Level,More than 65,FFF,Fail
29026,M,N,0-35,low,Lower Than A Level,More than 65,FFF,Pass
29027,M,N,0-35,low,Lower Than A Level,More than 65,FFF,Pass
29028,M,N,0-35,high,Lower Than A Level,60-65,FFF,Fail
29029,M,N,35-55,high,Lower Than A Level,60-65,FFF,Pass
29031,F,N,35-55,low,HE Qualification,More than 65,FFF,Pass
29038,F,N,0-35,high,A Level or Equivalent,More than 65,FFF,Pass
29042,M,N,0-35,high,A Level or Equivalent,More than 65,FFF,Pass
29043,M,N,0-35,high,A Level or Equivalent,More than 65,FFF,Pass
29044,M,N,0-35,low,Lower Than A Level,60-65,FFF,Pass
29045,M,N,0-35,low,Lower Than A Level,60-65,FFF,Pass
29046,M,N,0-35,high,A Level or Equivalent,60-65,FFF,Pass
29047,M,N,0-35,low,HE Qualification,60-65,FFF,Pass
29049,M,Y,0-35,low,Lower Than A Level,More than 65,FFF,Pass
29050,M,N,0-35,low,A Level or Equivalent,60-65,FFF,Fail
29052,M,Y,0-35,low,A Level or Equivalent,60-65,FFF,Pass
29054,M,N,0-35,high,Lower Than A Level,More than 65,FFF,Pass
29058,M,N,35-55,low,HE Qualification,More than 65,FFF,Fail
29059,M,N,0-35,low,No Formal quals,More than 65,FFF,Fail
29060,F,N,35-55,high,HE Qualification,60-65,FFF,Pass
29064,M,N,0-35,low,Lower Than A Level,More than 65,FFF,Pass
29066,M,N,35-55,high,Lower Than A Level,60-65,FFF,Pass
29073,M,N,35-55,high,Lower Than A Level,60-65,FFF,Pass
29074,M,N,0-35,high,HE Qualification,More than 65,FFF,Fail
29077,M,N,0-35,high,A Level or Equivalent,60-65,FFF,Fail
29079,M,N,0-35,high,A Level or Equivalent,More than 65,FFF,Pass
29080,M,N,0-35,high,A Level or Equivalent,60-65,FFF,Pass
29081,M,N,0-35,high,Lower Than A Level,More than 65,FFF,Pass
29087,M,N,0-35,high,A Level or Equivalent,60-65,FFF,Fail
29092,M,Y,0-35,low,Lower Than A Level,More than 65,FFF,Pass
29094,M,N,0-35,low,A Level or Equivalent,More than 65,FFF,Pass
29096,F,N,0-35,high,HE Qualification,60-65,FFF,Pass
29098,M,N,0-35,low,Lower Than A Level,60-65,FFF,Fail
29100,M,N,0-35,low,Lower Than A Level,More than 65,FFF,Fail
29104,M,N,0-35,low,Lower Than A Level,60-65,FFF,Fail
29105,F,N,0-35,low,A Level or Equivalent,More than 65,FFF,Pass
29106,M,N,35-55,high,HE Qualification,More than 65,FFF,Pass
29107,M,N,0-35,low,Lower Than A Level,60-65,FFF,Pass
29109,M,N,0-35,high,Lower Than A Level,60-65,FFF,Pass
29112,M,N,0-35,low,A Level or Equivalent,More than 65,FFF,Pass
29114,M,N,0-35,high,Lower Than A Level,More than 65,FFF,Pass
29119,M,N,0-35,low,A Level or Equivalent,More than 65,FFF,Pass
29121,M,N,0-35,low,A Level or Equivalent,More than 65,FFF,Pass
29122,M,N,35-55,high,HE Qualification,60-65,FFF,Pass
29124,F,N,0-35,high,HE Qualification,60-65,FFF,Pass
29128,M,N,0-35,low,A Level or Equivalent,60-65,FFF,Fail
29129,M,N,35-55,low,Lower Than A Level,60-65,FFF,Pass
29132,F,N,0-35,low,A Level or Equivalent,More than 65,FFF,Pass
29133,M,N,0-35,low,Lower Than A Level,60-65,FFF,Pass
29134,M,N,0-35,low,A Level or Equivalent,60-65,FFF,Pass
29136,M,Y,0-35,high,Lower Than A Level,More than 65,FFF,Pass
29137,M,N,35-55,low,A Level or Equivalent,More than 65,FFF,Pass
29139,M,N,0-35,high,A Level or Equivalent,60-65,FFF,Pass
29140,M,N,35-55,high,A Level or Equivalent,More than 65,FFF,Pass
29142,M,N,0-35,low,Lower Than A Level,More than 65,FFF,Fail
29145,M,N,35-55,high,A Level or Equivalent,60-65,FFF,Pass
29147,F,N,0-35,high,A Level or Equivalent,60-65,FFF,Pass
29149,F,N,0-35,low,Lower Than A Level,60-65,FFF,Pass
29151,M,N,0-35,low,A Level or Equivalent,More than 65,FFF,Pass
29154,F,N,0-35,high,Lower Than A Level,More than 65,FFF,Pass
29155,M,N,35-55,low,A Level or Equivalent,More than 65,FFF,Pass
29157,M,N,35-55,high,A Level or Equivalent,60-65,FFF,Pass
29158,M,N,0-35,high,Lower Than A Level,60-65,FFF,Fail
29159,M,N,0-35,high,Lower Than A Level,60-65,FFF,Pass
29160,M,N,0-35,low,HE Qualification,More than 65,FFF,Pass
29165,M,N,0-35,high,Lower Than A Level,60-65,FFF,Pass
29166,M,N,0-35,low,A Level or Equivalent,60-65,FFF,Pass
29167,M,N,35-55,low,Lower Than A Level,60-65,FFF,Pass
29169,M,N,0-35,low,A Level or Equivalent,60-65,FFF,Pass
29170,M,N,0-35,low,A Level or Equivalent,More than 65,FFF,Pass
29171,M,N,0-35,low,A Level or Equivalent,More than 65,FFF,Fail
29173,F,N,0-35,low,HE Qualification,More than 65,FFF,Pass
29174,M,N,0-35,low,Lower Than A Level,More than 65,FFF,Pass
29175,M,N,35-55,low,Lower Than A Level,60-65,FFF,Pass
29176,M,N,0-35,low,A Level or Equivalent,More than 65,FFF,Pass
29177,M,N,0-35,high,HE Qualification,60-65,FFF,Pass
29178,F,N,0-35,low,A Level or Equivalent,More than 65,FFF,Fail
29179,M,N,0-35,low,A Level or Equivalent,60-65,FFF,Pass
29180,M,N,0-35,high,A Level or Equivalent,More than 65,FFF,Pass
29181,M,N,35-55,low,HE Qualification,60-65,FFF,Pass
29183,M,N,0-35,low,Lower Than A Level,60-65,FFF,Fail
29185,M,N,0-35,low,A Level or Equivalent,60-65,FFF,Pass
29186,M,N,35-55,low,HE Qualification,More than 65,FFF,Pass
29187,M,N,0-35,low,Lower Than A Level,60-65,FFF,Pass
29188,F,N,0-35,low,HE Qualification,60-65,FFF,Pass
29189,M,N,0-35,low,A Level or Equivalent,More than 65,FFF,Pass
29190,F,N,0-35,high,No Formal quals,More than 65,FFF,Pass
29191,M,N,0-35,high,A Level or Equivalent,60-65,FFF,Pass
29194,M,Y,0-35,low,Lower Than A Level,60-65,FFF,Pass
29195,F,N,0-35,low,A Level or Equivalent,More than 65,FFF,Pass
29197,M,N,0-35,high,Lower Than A Level,60-65,FFF,Pass
29201,M,N,35-55,high,HE Qualification,60-65,FFF,Pass
29203,M,N,0-35,low,HE Qualification,More than 65,FFF,Pass
29205,M,N,0-35,low,Lower Than A Level,60-65,FFF,Pass
29206,M,Y,0-35,low,Lower Than A Level,More than 65,FFF,Pass
29207,M,N,0-35,low,HE Qualification,More than 65,FFF,Pass
29208,F,N,0-35,low,A Level or Equivalent,More than 65,FFF,Pass
29209,F,N,0-35,low,HE Qualification,More than 65,FFF,Fail
29210,M,Y,35-55,high,HE Qualification,60-65,FFF,Pass
29211,M,N,0-35,high,HE Qualification,More than 65,FFF,Pass
29212,M,N,35-55,low,HE Qualification,More than 65,FFF,Pass
29214,M,N,0-35,high,Lower Than A Level,More than 65,FFF,Pass
29216,M,N,0-35,high,Lower Than A Level,60-65,FFF,Fail
29217,M,N,0-35,low,Lower Than A Level,60-65,FFF,Pass
29218,M,Y,0-35,high,A Level or Equivalent,60-65,FFF,Fail
29220,M,N,0-35,low,Lower Than A Level,60-65,FFF,Pass
29222,M,N,35-55,high,A Level or Equivalent,60-65,FFF,Pass
29228,M,N,35-55,high,A Level or Equivalent,60-65,FFF,Pass
29229,M,N,0-35,high,A Level or Equivalent,60-65,FFF,Pass
29231,M,N,0-35,low,A Level or Equivalent,60-65,FFF,Pass
29232,M,N,0-35,high,A Level or Equivalent,More than 65,FFF,Pass
29234,M,N,35-55,high,A Level or Equivalent,60-65,FFF,Fail
29235,M,N,0-35,high,A Level or Equivalent,60-65,FFF,Pass
29237,M,N,0-35,high,Lower Than A Level,60-65,FFF,Pass
29238,M,N,0-35,low,Lower Than A Level,60-65,FFF,Fail
29239,M,N,0-35,high,Lower Than A Level,More than 65,FFF,Pass
29243,M,N,0-35,low,Lower Than A Level,60-65,FFF,Pass
29244,M,N,0-35,low,Lower Than A Level,60-65,FFF,Fail
29245,M,N,0-35,low,Lower Than A Level,60-65,FFF,Pass
29246,M,N,35-55,high,A Level or Equivalent,60-65,FFF,Pass
29247,M,N,0-35,high,HE Qualification,More than 65,FFF,Pass
29250,M,N,0-35,high,A Level or Equivalent,60-65,FFF,Pass
29252,M,N,0-35,high,A Level or Equivalent,More than 65,FFF,Pass
29253,M,N,0-35,low,Lower Than A Level,60-65,FFF,Pass
29258,F,N,0-35,low,Lower Than A Level,More than 65,FFF,Pass
29259,M,N,0-35,high,A Level or Equivalent,More than 65,FFF,Pass
29260,F,N,35-55,low,Lower Than A Level,60-65,FFF,Pass
29261,F,N,0-35,low,A Level or Equivalent,60-65,FFF,Pass
29262,F,N,0-35,low,A Level or Equivalent,60-65,FFF,Pass
29263,F,N,0-35,low,HE Qualification,60-65,FFF,Pass
29264,M,N,0-35,low,Lower Than A Level,60-65,FFF,Fail
29267,M,N,0-35,low,A Level or Equivalent,More than 65,FFF,Fail
29268,F,N,35-55,high,HE Qualification,60-65,FFF,Pass
29269,M,N,35-55,low,Lower Than A Level,60-65,FFF,Pass
29270,M,N,35-55,low,Lower Than A Level,60-65,FFF,Pass
29272,F,N,0-35,low,A Level or Equivalent,More than 65,FFF,Pass
29276,M,N,35-55,low,Lower Than A Level,60-65,FFF,Pass
29277,M,Y,0-35,high,Lower Than A Level,60-65,FFF,Fail
29279,M,N,35-55,low,A Level or Equivalent,More than 65,FFF,Fail
29280,F,N,0-35,high,A Level or Equivalent,More than 65,FFF,Fail
29283,M,N,35-55,low,Lower Than A Level,60-65,FFF,Pass
29285,M,Y,0-35,high,A Level or Equivalent,More than 65,FFF,Fail
29288,M,N,35-55,high,Lower Than A Level,More than 65,FFF,Pass
29291,M,N,0-35,high,Lower Than A Level,More than 65,FFF,Pass
29292,F,N,35-55,high,A Level or Equivalent,More than 65,FFF,Pass
29293,M,N,0-35,high,Lower Than A Level,60-65,FFF,Fail
29296,M,N,0-35,high,A Level or Equivalent,More than 65,FFF,Pass
29299,M,N,0-35,low,A Level or Equivalent,More than 65,FFF,Pass
29300,M,N,0-35,low,A Level or Equivalent,More than 65,FFF,Fail
29303,M,N,0-35,low,A Level or Equivalent,More than 65,FFF,Pass
29305,F,N,35-55,high,HE Qualification,60-65,FFF,Pass
29307,M,N,35-55,low,A Level or Equivalent,More than 65,FFF,Pass
29309,M,N,0-35,high,A Level or Equivalent,More than 65,FFF,Pass
29311,M,N,0-35,low,HE Qualification,60-65,FFF,Pass
29312,M,N,0-35,high,HE Qualification,More than 65,FFF,Pass
29313,M,N,0-35,high,Lower Than A Level,More than 65,FFF,Fail
29314,F,N,35-55,high,HE Qualification,60-65,FFF,Pass
29315,M,N,35-55,low,HE Qualification,60-65,FFF,Fail
29317,M,N,0-35,low,A Level or Equivalent,60-65,FFF,Pass
29318,M,N,35-55,high,HE Qualification,60-65,FFF,Pass
29319,M,N,0-35,high,A Level or Equivalent,More than 65,FFF,Fail
29320,M,Y,0-35,high,Lower Than A Level,More than 65,FFF,Fail
29321,M,N,0-35,high,A Level or Equivalent,60-65,FFF,Pass
29323,M,Y,0-35,low,A Level or Equivalent,60-65,FFF,Pass
29325,M,N,0-35,low,A Level or Equivalent,60-65,FFF,Fail
29326,M,N,35-55,low,HE Qualification,60-65,FFF,Pass
29327,M,N,0-35,high,Lower Than A Level,More than 65,FFF,Pass
29328,M,N,35-55,high,Lower Than A Level,More than 65,FFF,Pass
29329,M,N,0-35,high,HE Qualification,60-65,FFF,Pass
29330,F,N,35-55,high,Lower Than A Level,More than 65,FFF,Pass
29331,M,N,0-35,low,A Level or Equivalent,More than 65,FFF,Pass
29333,M,N,0-35,high,HE Qualification,60-65,FFF,Pass
29334,M,N,0-35,low,A Level or Equivalent,60-65,FFF,Pass
29338,M,N,0-35,low,HE Qualification,More than 65,FFF,Pass
29339,F,N,0-35,high,HE Qualification,More than 65,FFF,Pass
29341,M,N,0-35,high,A Level or Equivalent,More than 65,FFF,Pass
29342,F,N,35-55,high,A Level or Equivalent,60-65,FFF,Fail
29343,M,N,0-35,high,A Level or Equivalent,60-65,FFF,Pass
29345,M,Y,35-55,low,A Level or Equivalent,More than 65,FFF,Pass
29347,M,N,0-35,low,A Level or Equivalent,More than 65,FFF,Pass
29348,M,Y,0-35,low,Lower Than A Level,More than 65,FFF,Pass
29349,M,N,0-35,low,A Level or Equivalent,More than 65,FFF,Fail
29352,M,N,0-35,high,A Level or Equivalent,More than 65,FFF,Fail
29353,F,N,35-55,low,HE Qualification,60-65,FFF,Pass
29354,M,N,0-35,high,Lower Than A Level,60-65,FFF,Fail
29357,M,Y,0-35,high,A Level or Equivalent,More than 65,FFF,Pass
29358,M,N,35-55,high,A Level or Equivalent,60-65,FFF,Pass
29359,M,N,0-35,high,HE Qualification,More than 65,FFF,Pass
29363,M,N,0-35,low,Lower Than A Level,More than 65,FFF,Pass
29364,M,N,0-35,high,A Level or Equivalent,More than 65,FFF,Pass
29365,F,N,0-35,high,HE Qualification,60-65,FFF,Pass
29367,M,N,0-35,low,Lower Than A Level,More than 65,FFF,Pass
29368,F,N,0-35,low,Lower Than A Level,More than 65,FFF,Pass
29369,M,N,35-55,low,A Level or Equivalent,60-65,FFF,Pass
29372,M,N,35-55,high,Lower Than A Level,60-65,FFF,Pass
29374,M,N,0-35,high,Lower Than A Level,More than 65,FFF,Pass
29375,F,N,0-35,low,A Level or Equivalent,More than 65,FFF,Pass
29376,M,N,35-55,low,Lower Than A Level,60-65,FFF,Fail
29377,M,N,0-35,low,A Level or Equivalent,60-65,FFF,Pass
29378,F,N,0-35,low,Lower Than A Level,More than 65,FFF,Pass
29380,M,N,0-35,low,A Level or Equivalent,60-65,FFF,Pass
29381,M,N,0-35,high,HE Qualification,60-65,FFF,Pass
29382,M,N,35-55,low,No Formal quals,60-65,FFF,Pass
29388,F,N,0-35,low,Lower Than A Level,More than 65,FFF,Pass
29390,M,N,0-35,low,A Level or Equivalent,More than 65,FFF,Fail
29391,M,N,0-35,high,A Level or Equivalent,60-65,FFF,Pass
29393,M,N,0-35,low,A Level or Equivalent,60-65,FFF,Fail
29394,F,Y,0-35,low,A Level or Equivalent,More than 65,FFF,Pass
29395,M,N,0-35,high,A Level or Equivalent,60-65,FFF,Pass
29398,M,N,0-35,high,A Level or Equivalent,More than 65,FFF,Pass
29399,M,N,0-35,high,A Level or Equivalent,More than 65,FFF,Pass
29401,F,N,0-35,high,A Level or Equivalent,60-65,FFF,Pass
29402,M,N,0-35,low,A Level or Equivalent,More than 65,FFF,Pass
29403,M,N,0-35,high,A Level or Equivalent,More than 65,FFF,Pass
29404,M,N,0-35,high,A Level or Equivalent,60-65,FFF,Pass
